-0:58	marianne van tienen	しおしおっ！
1:24:12	みのる	いつでもいいよ
1:24:12	もつもつ	むりしないで
1:24:13	シン17	お大事に
1:24:13	やあけ	無理して、悪化したら長引くだけだしなあ
1:24:14	とき	楽しみが増えたな
1:24:15	ミド	お大事に
1:24:15	アルゴノゥトチームGospel	スパチャ読み耐久は草
1:24:15	みなせ	スパチャ読みがリボ払いみたいになりそう
1:24:16	taka32 S	ありがとう
1:24:16	サンロク	スパチャ読み用の配信枠が必要になりそう
1:24:16	Ryo	お大事にね
1:24:16	ことかげ	お大事にー
1:24:16	ニコラス	(*´ω`*)
1:24:16	麻雀ビギナーしょーしょん	まあゆっくり休んでもろて
1:24:19	ぐぅたら	ほうほう
1:24:20	へむ	ちゃんと7時間睡眠とってね
1:24:20	むあーん。	ほう
1:24:20	グリヴェン	おお！
1:24:21	Ryo	ほう
1:24:21	2002 Yukina_chan	おおー
1:24:21	お前ら_	へ～
1:24:21	とき	おお
1:24:22	麻雀ビギナーしょーしょん	おっ
1:24:22	レッドウッドへいぽう	明日コラボだしゆっくり休んでもろて
1:24:22	天城久秀	はえ～
1:24:22	クレイ。	おお
1:24:22	モジャンヌ	それは嬉しい
1:24:22	ろっきー	よかったね
1:24:23	レモン	ほう！
1:24:23	パイライトテディ	それはうれしいな
1:24:24	rapid eye rabbit	へえー
1:24:24	西都なつ	ほう
1:24:26	九条悠斗	showroom
1:24:26	夜空ユウキ	嬉しいよね
1:24:27	月十字	腱鞘炎になりそう
1:24:27	太陽の塔	無理しないでね。
1:24:27	天城久秀	お大事に！
1:24:27	パイライトテディ	そうだね
1:24:27	K Tony	わかる
1:24:28	いざよいさくや	あー
1:24:28	禁革龍	初見です
1:24:28	芋下きぬ	幸せな奴じゃん
1:24:28	ことかげ	わかる
1:24:29	Fumy H	うんうん
1:24:29	とろろ	あるある
1:24:29	梶まーりん	ほう！
1:24:30	ささら	あーわかる
1:24:30	餅兵衛たなぼた	元気になったとき用	￥1,140
1:24:31	tora tora	あー
1:24:31	じぇのあ	わかる
1:24:32	デモア	わかるｗｗ
1:24:32	とと。	見返りを求めてスパチャしてないから別にいいぞ
1:24:32	豆腐DMT	ほう
1:24:32	Mr.ニンドー	あるある
1:24:32	たい焼き袋詰	よかったね
1:24:32	とりあたま	コメントマウント
1:24:32	わんたん	嬉しいやつやね
1:24:33	かぷ	あるあある
1:24:33	ザッハトルテ。	あーあるあるｗ
1:24:33	太陽の塔	おお！
1:24:33	rapid eye rabbit	よかったやん
1:24:34	ななみさん	草
1:24:34	ちっそむし	ほうほう
1:24:34	水溶きコンソメ	あ～～～
1:24:34	グリヴェン	草
1:24:34	waniwani wanito	拾われるとハズイやつ
1:24:34	Fumy H	草
1:24:34	ほげほげふがふが	草
1:24:34	あい	草
1:24:35	ね ゙え ゙え ゙	うわｗｗｗｗ
1:24:35	みづき	草
1:24:35	ゆういち	草
1:24:35	ぐぅたら	草
1:24:35	Jジェイ	草
1:24:35	杏【きょう】	草
1:24:35	雨宮恵	草
1:24:36	NIHO UFO	草
1:24:36	ピコット	草
1:24:36	くらつ	きっもｗ
1:24:36	jiroro 266	草
1:24:37	あまなつみかん	草
1:24:37	21	草
1:24:37	Nights -O	ひどいコメント
1:24:37	deseria	草
1:24:37	ムームー	草
1:24:38	ark0125	草
1:24:38	mezzoforte	草
1:24:38	まこだいあ	何コメントしてんだよ
1:24:38	rapid eye rabbit	草
1:24:38	明日カン八郎	草
1:24:38	木村清太郎	草
1:24:38	九条悠斗	ガチオタ
1:24:38	紅茶風ミックスゼリー		￥500
1:24:38	E. garland	草
1:24:38	ちっそむし	草
1:24:38	あのんまのんver.II	草
1:24:38	とき	草
1:24:39	麻雀ビギナーしょーしょん	草
1:24:39	sakura mituki	かなしいｗ
1:24:40	カヤ	草
1:24:40	\らじお/	おっさんやん
1:24:40	らん	草
1:24:40	2002 Yukina_chan	草A
1:24:40	ダンデライオン	草
1:24:41	アコマリル	あっ
1:24:41	コタケリョウ	あのさあ・・・
1:24:41	さくらいむ	草
1:24:41	はと;	草
1:24:42	ろっきー	草
1:24:42	Yuki Aru	草
1:24:42	K泉ペンキ	草
1:24:42	エビ天	わかるよｗｗｗ
1:24:42	Mindy	草
1:24:43	なす	草
1:24:43	餅兵衛たなぼた	天才
1:24:43	kazn	キッツｗ
1:24:43	雨の宿り木	草
1:24:43	にゃず	草
1:24:44	のくと	気持ち悪いやつだｗ
1:24:44	taka32 S	草
1:24:44	みのる	よりにもよってw
1:24:44	akki	草
1:24:44	IYH	草
1:24:44	ナギ	草
1:24:45	あいりす	草
1:24:45	peaceman1984	厄介
1:24:45	イクスツー	気持ち悪くね？
1:24:45	このあの	婚姻届！
1:24:45	ようχ	草
1:24:46	bontyan	天才か？
1:24:46	アトス	草
1:24:46	ナゴツク	アーカイブ見直して名前が呼ばれてたことに気づいてちょっと嬉しくなった	￥500
1:24:46	豆腐DMT	草
1:24:47	しばわん	草
1:24:47	ごはん	何コメントしとんねん
1:24:47	深月良介	草
1:24:47	まふぃー	なんてコメントしてんだ
1:24:48	キミカン	それは草
1:24:49	レッドウッドへいぽう	厄介やんけ
1:24:49	テロン	草
1:24:49	きなこ	草
1:24:49	ぼくもあなたも	15万人までスパチャ読みしないで耐久スパチャ読みの記念配信とか面白そう
1:24:50	桑原みー	話のネタに使いやすかったんじゃないの
1:24:50	おからごはん	草
1:24:51	だいふくうに	なんてコメを…
1:24:52	あぱえ	草
1:24:52	白詰草	草
1:24:52	hhh sss	ひっでえｗ
1:24:52	たのP	おもしろい
1:24:53	留学生ベン君	草
1:24:53	ゆういち	嬉しいね
1:24:53	Maino Taur	草
1:24:54	帰宅RTA	やさしい
1:24:54	ことかげ	草
1:24:54	*シクラス*	草
1:24:55	あかちー	優しい
1:24:55	Red eyes	やさしいね
1:24:55	とろろ	草
1:24:55	かぷ	最高では？
1:24:56	まはた	うわぁお
1:24:57	モジャンヌ	神対応やん
1:24:57	花嫁の魔女	ヤバすぎて草
1:24:57	ひっきー	ぉぉぉ
1:24:58	ぷっしろ	クソリプで草
1:24:58	月十字	草
1:24:58	トリウナギ	は？？？そんなん死ぬが
1:24:58	こやこや	江頭もショールームで放送してたよね
1:24:58	あおい	神対応だ
1:24:59	Akiteru Fjimoto	草
1:24:59	リゼベル	百合百合してきた
1:25:00	はちか	あのさぁ
1:25:00	いざよいさくや	よりにもよってｗｗｗ
1:25:00	ちゃんちゃんしおしお	つよい
1:25:00	ゆういち	草
1:25:00	mezzoforte	あら＾～
1:25:00	121mj	天使かよ
1:25:01	こうめ	なんで？
1:25:01	Westeria	特定しますた
1:25:01	国士無双	栞桜ちゃんが無理をしてまで名前を呼んで欲しいと思っている人間はいないと思いたい・・・	￥200
1:25:01	5階	草
1:25:01	*ねう*	なんで？
1:25:03	リベア	きもーい
1:25:03	パイライトテディ	おれたちじゃねぇかｗｗ
1:25:03	漬けノソ	百合は尊い
1:25:04	限界	そういうコメント栞桜ちゃんも普通に拾いそう
1:25:04	水溶きコンソメ	つらいなぁ…
1:25:04	横々	良い子だね
1:25:04	いたち海月	内容がひどすぎるw
1:25:05	めもり	やっぱりおっさんやんけ・・・
1:25:05	伊奈ぴょん	良いアイドルだな
1:25:05	Misao Fujimura	おっさんきっも
1:25:07	山田エミール	重いわw
1:25:08	ぷるぷる運輸倉庫	しぬこさんに教えてあげなきゃ
1:25:08	あいりす	優しい
1:25:09	金目鯛	草
1:25:10	テーク	神対応
1:25:10	NIHO UFO	神対応じゃん
1:25:11	おおくそん	おお…いい子じゃ…
1:25:11	つっきー	婚姻届は草
1:25:11	じゃがまきぃ	神対応やん
1:25:11	西都なつ	神対応じゃん
1:25:11	ハセマ・スネーク	草
1:25:11	ほそやん	神対応
1:25:12	暁宵	栞桜ちゃんのとこ今のエピソードで増えそう
1:25:12	ラファール	あら＾～
1:25:12	まんじ太郎	草
1:25:12	くろしば	神対応だ
1:25:12	アメペリック	今なら受理されてしまうところも。。。
1:25:12	村上元紀	しゃーない
1:25:12	バルビン	草
1:25:12	ひっきー	コメントに対して、すごい対応
1:25:13	777 geregere	厄介ですね
1:25:13	ゆういち	読まれると思ってなかったパターン
1:25:13	家入翔	神対応やん
1:25:13	ウサギかカメ	草
1:25:13	黒㐂	いい返しやなぁ
1:25:15	横々	神じゃん
1:25:15	soujyu	じゃあ俺らも婚姻届持ってくか
1:25:15	Fumy H	栞桜ちゃんも大概変なコメント拾うやん？
1:25:16	ぷっしろ	やさしい
1:25:16	みーや	草
1:25:16	サンロク	楠そういうとこあるよね
1:25:16	調律	してるねｗ
1:25:16	帰宅RTA	マジ？行こ
1:25:16	山本たろう	は？
1:25:16	M・A・Oマオ	草
1:25:16	此処葉	草
1:25:17	ひっきー	えええｗ
1:25:17	とむ	草
1:25:17	T M	ガチレズだったらどうする気だったんだろう
1:25:17	ソトザキマサタカ	前振りかな？
1:25:17	レモン	草
1:25:18	豆腐DMT	きもーいｗ
1:25:18	ちっそむし	草
1:25:19	サナ	草
1:25:20	cvector	似合わないは草
1:25:20	お前ら_	エガちゃんｗ
1:25:20	21	まぁそういうコメントじゃなかったら拾われてなかったかもしれんし
1:25:20	wildcat5314	草
1:25:21	のりほしゅ	あら～
1:25:21	愛じゃよハリー	マジできもい
1:25:21	セミの抜け殻	草
1:25:21	カンザキシン	えもーい
1:25:21	七夜食	江頭栞桜……？
1:25:22	あまなつみかん	草
1:25:22	ザッハトルテ。	草
1:25:22	裏腹さん	きもーいｗ
1:25:22	jun jun	草
1:25:23	ロザエ	すごい
1:25:23	ハセマ・スネーク	神対応だなあ
1:25:23	なむ	草
1:25:24	大銀	きもーい☆助かる
1:25:24	レッドウッドへいぽう	きもーい
1:25:24	デモア	絶対栞桜ちゃん見てないだろってタイミングでわざと送ったのに拾われて焦ったこと何度もあるわ
1:25:25	桜田マッコイ	私女の子だけど婚姻届持ってたらサインしてくれる？
1:25:25	なーく	にあわないねｗ
1:25:25	-デビッド-David	拾いやすいコメントだったのか
1:25:25	しばわん	やさしい
1:25:25	グリヴェン	上手くかわしてくれたね
1:25:26	アトス	草
1:25:26	ぐぅたら	失礼すぎるだろｗ
1:25:26	ユイ・ダレヤネン	草
1:25:26	お前ら_	へ～
1:25:26	雨の宿り木	草
1:25:27	みやまちかげ	似合わんこた無いだろ
1:25:27	いざよいさくや	エガちゃんYoutubeもやってるし
1:25:27	レイザーRR	草
1:25:28	コタケリョウ	栞桜さんも紙対応学んでいこうな
1:25:28	猫島	サイン会に婚姻届持ってく人だらけになるやつじゃん
1:25:28	チィヤ	江頭に婚姻届け持っていったらサインしてくれるのかな
1:25:28	*ねう*	自分も持って行っていい？
1:25:29	りゅうな	草
1:25:29	ものくろP	江頭神対応やん…
1:25:29	% ショウ%	神対応だ・・・
1:25:29	りんほん	その子をリスペクトしてるの？
1:25:29	こうかな?	自分で提案したってことは自分もやられてOKと
1:25:30	Akino2517	しおちゃんのサイン会にも婚姻届持っていくわ
1:25:30	雨劉	草
1:25:30	九条悠斗	婚姻届はリアルでやった事あるんだなー
1:25:31	蜷川【にながわ】タンヤオおじさん	これはリスナーに婚姻届けを持ってこいっていう圧？？
1:25:31	Cloelia	キモ
1:25:31	peaceman1984	コメント書く前に深呼吸
1:25:31	kuromen	じゃあ婚姻届持っていくからサインよろしく
1:25:32	首都ブラジリア	いやキモいよ
1:25:32	†すぱいらる†	いい人やねぇ
1:25:32	わんたん	婚姻届持ってたら栞桜ちゃんはサインしてくれますか？
1:25:32	死神パフェ	その優しさに触れて更に好きになったんじゃね？
1:25:33	pinebokkuri	しお、今日もかわいいな
1:25:33	nero大佐	これはしおっさん
1:25:33	モナリザ・マシュマロマン	栞桜ちゃんならなんて反応してたよ？
1:25:34	〆作	パンツにサインしてじゃなくてよかった…
1:25:34	キャベツ	草
1:25:34	さみゅ	エガちゃんマジ？
1:25:35	Beep	婚姻届けは審査通るのかな
1:25:35	しぐの	わかる 今日のコメも後悔してる
1:25:35	ゆういち	エガちゃん
1:25:36	おーさきゆう	借用書でもええか
1:25:36	Ryo	あるよ
1:25:36	ニコラス	(´
1:25:36	_lili_	Youtubeあるね
1:25:37	お前ら_	つくってたね
1:25:37	りんご田べる	マジ？
1:25:37	夢見るひつじ	昔よ
1:25:37	ことかげ	作ってたはず
1:25:37	まふぃー	江頭さん実は結構紳士やぞ
1:25:37	山本たろう	作ってる
1:25:37	ウーパーマン	めっちゃ失礼ｗ
1:25:38	ミカン箱	楠さんもめっちゃいい子・・・
1:25:38	スパイラル	栞桜さんに一昨日のキャスで読んでもらったけど怒られたよ？
1:25:38	Jジェイ	作っておられましたよー
1:25:38	K Tony	えがちゃんねる
1:25:38	ぷっしろ	実際コメント拾われるのは嬉しい
1:25:39	ひっきー	じゃあ俺らが婚姻届けを持っていくと…？
1:25:39	パイライトテディ	えがちゃんねるめっちゃおもしろよね
1:25:39	なむ	江頭にきもーいって言ったのかと思ってびっくりしたわ
1:25:39	のりまき	脱げないからね
1:25:39	クレイ。	エガちゃんw
1:25:40	Nagai Ryutaro	その手があったか
1:25:40	2002 Yukina_chan	作ってｒ
1:25:40	ハセマ・スネーク	栞桜対応されなくてよかったね
1:25:42	SATOU	めっちゃいい子にそんな文章を…
1:25:42	おおくそん	Youtubeやってたなぁ
1:25:42	brave one	おじさんだとダメなのか
1:25:42	桑原みー	江頭なにやってんだよｗ
1:25:43	きゅーかんばー	作ってるね
1:25:43	とろTak庵	つべもあるね
1:25:43	月十字	ようつべもやってるよ
1:25:43	不思議の国の人形	栞桜ちゃんのサイン会に連帯保証人の書類もってってもいーいー？
1:25:43	あのんまのんver.II	このご時世だしね
1:25:43	びっくす	栞桜ちゃんはサインしてくれんの？
1:25:44	なるべく	作ってますよ
1:25:44	ruska	エガちゃんねるｗ
1:25:44	あいさかゆう	てぇてぇ
1:25:44	だあでん	江頭さんとコラボ予定はいつですか？
1:25:45	ぷるぷる運輸倉庫	江頭は登録してるぜ
1:25:45	古鉄	芸能人の配信増えたもんね
1:25:45	こうかな?	Youtubeは収益化の問題が
1:25:45	太陽の塔	本人が望んだ姿やしｗ
1:25:46	ゆういち	NAOMI
1:25:46	雨の宿り木	つくってるね
1:25:47	北傘	YouTubeチャンネルもあるね
1:25:48	mo's!	色んな人がやってるね
1:25:48	ろっきー	拾いやすいネタだったから拾われたのでは
1:25:48	ぽいっぽ	えがちゃbんあるよ
1:25:48	きのこたけのこ	江頭アイドルかよ
1:25:48	レッドウッドへいぽう	江頭さんすごい登録者だよね
1:25:49	メイダイン	youtube BANされたのでは？
1:25:49	ポンコツ星人	Showroom草
1:25:49	とき	呼び捨て草
1:25:50	チモシーほおばっ太郎	えがちゃん登録してるよ
1:25:50	jiroro 266	ナオミキャンベル？
1:25:50	皇	あるよ。めっちゃおもろい
1:25:50	猫島	ナオミとコラボする？
1:25:50	ふるーり	栞桜ちゃんに借金の借用書持っていったらサインくれるかな
1:25:50	汐岡崎	直美
1:25:50	水面蛍	エガちゃんはエモいだろ
1:25:51	首都ブラジリア	youtubeじゃ収益化できないんじゃないの？
1:25:52	司令_つかされい	ナオミコメは笑う
1:25:52	フラグクラッシャー	エガちゃんも良い人だよ
1:25:52	Jippa	エガちゃんもう200万だっけ
1:25:52	まるめる	男が言ったらボコボコだったな
1:25:53	SOS	好きだね〜
1:25:54	いつみ	友達みたいに呼ぶじゃん
1:25:54	シヴァ村卯月	直美の配信見たよ～～！
1:25:54	琵琶丸	BANされるかチャレンジやってましたね
1:25:54	ns zn	草
1:25:55	由ゆう	えがちゃんは２００万人登録いってたよな
1:25:55	アメペリック	俺は離婚届けを持って行こう
1:25:56	雀魂最強!	ばあちゃるサイン会に婚姻届持ってたらサインしてくれる？
1:25:56	sa	なおみｗ
1:25:56	えびび大福	エガちゃんショールーム飛び出してなかった？
1:25:56	Fairy Snow	何目線なのだｗ
1:25:58	レイザーRR	狩野とかロンブーも配信やってたなぁ
1:25:58	氷水	隙あらばナオミ
1:25:58	月刊アフロ		￥200
1:25:59	クレイ。	友達が本田翼とお昼ご飯食べてた
1:25:59	tora tora	赤坂でショールームでやったりしてたんやぞ
1:25:59	ちゃぼうず_cyabouzu	見に行ったら、本当に絵文字だらけだったｗ
1:26:00	こばやし	友達感覚で草
1:26:00	縁社桜音床	まかのんとの婚姻届楽しみにしてます
1:26:00	へむ	狩野英孝の配信すき
1:26:01	なーく	あんた直美のなんなのよ！
1:26:01	飴あられ	エガちゃん物凄くいい人なんだよなぁ…
1:26:02	peaceman1984	ナオミ・キャンベル？
1:26:02	だあでん	栞桜さんも飯食い雑談配信やろう
1:26:02	天城久秀	ここのコメントとの違いは何ですか？
1:26:03	ムラ	ナオミさんの放送見に行ったら本当に絵文字の一体感凄かった
1:26:03	まんじ太郎	きもーいがエガちゃんに対してと勘違いされとる
1:26:03	rapid eye rabbit	ナオミすきやなー
1:26:04	サンロク	賢者か何か？
1:26:04	701便	銀盾が来る前に金盾が来た江頭さん
1:26:04	Jジェイ	エガちゃんとコラボする？w
1:26:04	野良猫	ホロでも婚姻届け出された人居なかった？
1:26:05	帰宅RTA	コメント欄見てみるの忘れてた
1:26:06	すしゅ	草
1:26:06	ニコラス	(´
1:26:07	レッドウッドへいぽう	えがちゃんBANされるからか
1:26:07	あおいの	ShowRoomはなんか48グループがやってるからアイドルの配信場所ってイメージだなぁ
1:26:07	白詰草	草
1:26:08	お前ら_	エガちゃんとコラボｗ
1:26:09	クレイ。	草
1:26:09	とろろ	倒されるｗ
1:26:10	Takebon	ここは絵文字少ないからな
1:26:10	チィヤ	この前の友近との配信見てたわ
1:26:10	醤油砂糖	誰に？w
1:26:10	あぎだどら	麻雀さそうか？
1:26:10	餅兵衛たなぼた	倒される？！
1:26:11	_lili_	倒されるｗ
1:26:11	ハセマ・スネーク	草
1:26:12	裏腹さん	倒されるは草
1:26:12	とき	倒される
1:26:12	とと。	ナオミと麻雀
1:26:12	アメペリック	雑念しかない、どこかと違い過ぎる
1:26:12	たけどーら	倒されるｗ
1:26:12	CarMania E-NA1	ナオミ・ワタナベはまじで面白い
1:26:12	古鉄	倒されるてｗ
1:26:13	Areso	倒されるは草
1:26:13	ことかげ	誰にたおされるのｗ
1:26:13	いざよいさくや	草
1:26:14	吐露非狩古鬱	なおみコラボ待ったなし
1:26:14	豆腐DMT	草
1:26:15	しゅんぎく	ご飯炊きあがったときに小躍りしたシーン大好き
1:26:15	ぎんいろ	倒されるは草
1:26:15	ぐぅたら	倒されるてｗ
1:26:15	アルゴノゥトチームGospel	何と戦ってるのｗ
1:26:15	ちっそむし	草
1:26:15	芋下きぬ	女子力で倒される
1:26:16	ark0125	たおされる！？
1:26:16	あのんまのんver.II	言うだけならタダだよ
1:26:16	とりあたま	友達かな？
1:26:16	ほわちゃん	凄いとことこらぼ
1:26:16	。五等分	倒されるんだ
1:26:16	ネムレス	草
1:26:17	お前ら_	？
1:26:17	Orpheus1221	倒されるの？
1:26:18	猫島	体重差が5倍くらいありそう
1:26:18	Ryo	倒されるの？
1:26:18	ザッハトルテ。	草
1:26:18	ロザエ	つよそう
1:26:18	rapid eye rabbit	大物がすぎるｗｗｗ
1:26:18	佐藤蓮	どのナオミ？
1:26:19	ちっちちっち	倒されるｗｗｗ
1:26:19	Nights -O	草
1:26:19	シヴァ村卯月	誰よその女！
1:26:19	琵琶丸	倒される！？
1:26:19	ななみさん	直美だったん・・・？
1:26:19	スパイラル	ナオミに直談判
1:26:19	くしかつ	なんであんなコメントしたんだろうと後から後悔する時ありますね	￥3,000
1:26:20	トンキン湾の人喰い虎	？？？
1:26:21	しばわん	草
1:26:21	サナ	直美の直美とは
1:26:21	ポテト	こんばんわ🌸
1:26:22	†すぱいらる†	え？ｗ
1:26:22	いたち海月	直美の直美ってなんだよw
1:26:22	愛じゃよハリー	やってみなきゃわかんねぇだろ！
1:26:23	logos2501	ナオミと麻雀するか
1:26:23	リゼベル	えがちゃんねるは面白いぞ
1:26:24	卜キサメ	ナオミのナオミはナオミだけだよ
1:26:24	のーれっじ	最近芸能人の方は
1:26:27	ポンコツ星人	倒されるｗ
1:26:27	ShingoMk-Ⅱ	草
1:26:27	black AYANE	たおされるってｗｗ
1:26:28	エビ天	いつかできるくらいになるかもしれない
1:26:29	ようすけ	戦うな
1:26:29	だあでん	お前はナオミではない
1:26:29	みやまちかげ	ナオミのナオミ？
1:26:30	さみゅ	直美を何だと思ってるんだ
1:26:31	Akiteru Fjimoto	倒されるってw
1:26:31	醤油砂糖	あるある
1:26:31	ベホイミ・メディア	エガちゃんとコラボして欲しいな
1:26:32	おおくそん	ナオミのナオミとは
1:26:33	Concepsion Jake	赤木しげるとコラボして
1:26:33	ちゃんちゃんしおしお	ナオミのナオミｗ
1:26:33	きゅーかんばー	ナオミのナオミとは
1:26:34	デモア	ある
1:26:34	りべ	ナオミのナオミってなんだよｗ
1:26:34	のしろん	直美の直美？？？
1:26:34	横々	ばかばかばかばか」かわいい
1:26:35	由ゆう	リアルエガちゃんと握手したことあるけど、めっちゃ手綺麗で柔らかいよ
1:26:35	あのんまのんver.II	わかる
1:26:35	エビ天	わかる
1:26:35	Fumy H	わかる
1:26:35	ことかげ	わかる
1:26:36	れめれめ	草
1:26:36	家入翔	水曜どうでしょうの
1:26:36	竹立てかけた楯壁立てた	¥100	￥500
1:26:36	孤高の探索者	ナオミのナオミ？
1:26:36	Westeria	分かる
1:26:36	ザッハトルテ。	わかる
1:26:37	サナ	わかる
1:26:37	呉スカーレット	そんな、声まで変わって
1:26:39	こうめ	化粧勉強しないとコラボできないな
1:26:39	こばやし	ナオミは概念だった…？
1:26:39	春季限定のりしお風味	エガちゃんはアイドルだった‥?
1:26:40	みーや	わかる
1:26:40	桜花ありす	ナオミキャンベル？
1:26:40	ダンデライオン	ナオミのナオミ？
1:26:40	クレイ。	ホロに婚姻届出されてる人いたなm
1:26:40	ふぅと、ため息	あるあるｗ
1:26:40	ももふぁsももんたろう	麻雀やってればワンチャンある
1:26:41	kuromen	誰よその女！
1:26:41	Nights -O	それはある
1:26:42	国士無双	ナオミが麻雀始めたらワンチャンｗ
1:26:42	†すぱいらる†	リアルアイドルの握手会とか行った事は？
1:26:42	西都なつ	どういうこと
1:26:42	帰宅RTA	ナオミのナオミ？
1:26:43	カルラ	DJ KOOさんたまに17でライブしてたりするな
1:26:43	/ UMA	ナオミだったのか
1:26:43	ゆういち	チャンネル名かな？
1:26:43	明日カン八郎	ん？
1:26:43	スパイラル	ナオミヅラするなよ！！
1:26:45	駄威悦糖	りゅうたろう（仮面ライダーバルカンの人）ならワンチャン有るかも
1:26:47	司令_つかされい	脊髄コメ拾われがち
1:26:48	Maha raja	楠直美さん！？
1:26:48	太陽の塔	ナオミの麻雀の師匠になろうｗ
1:26:48	琵琶丸	なるほど、わからん
1:26:49	メイダイン	エステティックTBC
1:26:49	稲村鯱	ナオミがゲシュタルト崩壊する
1:26:49	フェルトツヴァイ	直美可愛いよな
1:26:49	きのこたけのこ	ショールームは集金感が半端ない
1:26:50	ゆういち	ほぅ
1:26:50	ns zn	でしょうよｗ
1:26:51	シューマイ,シャトルぱーそなる	ナオミに女子力鍛えなおしてもろ手
1:26:51	ぐぅたら	ほうほう
1:26:52	スパイラル	おっ？
1:26:52	エビ天	たまに変なコメント拾われると後悔するｗ
1:26:52	佐藤蓮	ナオミの芸人仲間とコラボじゃないかな
1:26:52	伊奈ぴょん	疎すぎてなおみさん言われても分からないｗ
1:26:54	首都ブラジリア	でも直美ってヘソがすごい臭いらしよ
1:26:54	やまぶどう	おすすめして欲しい
1:26:54	Jジェイ	お、誰だい...？
1:26:55	月十字	コメント後悔わかる
1:26:55	Nights -O	しょうもないコメントに限って拾われる
1:26:55	スパイラル	だれ？
1:26:56	M・A・Oマオ	基本生身のyoutubaには興味ないからねー
1:26:56	アメペリック	コスプレイヤーとVtuberとか楽しそう
1:26:57	こやこや	たかちゃん好き
1:26:58	ゆういち	美容……
1:27:00	コレ衛門	純
1:27:01	ボルツ	GUNMA-17
1:27:01	ものくろP	江頭か
1:27:01	汐岡崎	美容！？
1:27:01	ゆういち	ぱおぱおね
1:27:02	2002 Yukina_chan	懲役太郎とか？
1:27:03	ニコラス	(´
1:27:03	佐藤蓮	IKKO?
1:27:04	チィヤ	しらん
1:27:04	山本たろう	へぇ～
1:27:04	まふぃー	美容系？？
1:27:05	パイライトテディ	聞いたことはある
1:27:05	スパイラル	かわいいよね
1:27:05	ななみさん	名前はきいたことある
1:27:05	モジャンヌ	知ってる！
1:27:05	marianne van tienen	誰だよ
1:27:05	辻斬りロータ	ナオミインティライミ？
1:27:06	わんたん	あー
1:27:06	西都なつ	美容系！？栞桜ちゃんが？
1:27:06	rapid eye rabbit	コスメ系すきやな
1:27:07	peaceman1984	美容系・・・？
1:27:07	ザッハトルテ。	聞いたことある
1:27:07	shigeru-akagi-100	しらんｗ
1:27:08	Jジェイ	あー
1:27:08	りんご田べる	ほお
1:27:08	サナ	へー
1:27:09	トリウナギ	言ってたねえ
1:27:09	らん	知ってはいる
1:27:09	むあーん。	名前は聞いた事ある
1:27:09	おぺんだいopendai	あーずかわいい
1:27:10	mezzoforte	知らない
1:27:11	soujyu	美容系見る前に服買うといいよ
1:27:11	みづき	パオチャンすきー
1:27:11	レモン	へー
1:27:12	あのんまのんver.II	YouTuberはしらないなぁ
1:27:12	ねる	なるほどね
1:27:12	とりあたま	ぶんけいさんのやつ？
1:27:13	九条悠斗	あー！可愛いよね！
1:27:13	アニマルレーシングワイルド	パオパオよかったよね
1:27:13	古鉄	へー
1:27:13	やる夫	聞いたことあるな
1:27:14	Akino2517	あーずーはかわいい
1:27:14	ユパ	知らない
1:27:14	やまぶどう	パオパオは水溜りとコラボしてたから知ってる
1:27:14	調律	わからんな・・
1:27:14	かなかな	サイン会で皆んな婚姻届持ってきそうね
1:27:14	H N.	美容。。。？
1:27:14	〆作	へぇ～
1:27:15	諦めちゃったけど諦められないれみちゃん446#NCB	美容！？
1:27:15	TX11 D11	ほうほう
1:27:15	氷水	でも１００均メイクなんだよね・・・
1:27:15	Takebon	美容に興味が？
1:27:16	親方仙人	美容！？
1:27:16	ボルツ	？
1:27:16	F K	あずきちゃん…？
1:27:16	いっちゃん	美容系
1:27:17	司令_つかされい	変わったのか
1:27:17	エビ天	ほー
1:27:17	蒸しパン。	美容系！？
1:27:17	桑原みー	リアルゆーちゅーばほぼみてない
1:27:18	スパイラル	あれは良いよね
1:27:18	しょみん	あ～
1:27:18	rapid eye rabbit	聞いたことはある
1:27:18	きゅーかんばー	へー
1:27:18	SOS	へー
1:27:18	いざよいさくや	名前は知ってる
1:27:18	よしき	あずー、好きよ
1:27:18	トンキン湾の人喰い虎	美容系・・・活かせてますか？
1:27:19	Akiteru Fjimoto	へー
1:27:21	Mr.ニンドー	わからんなぁ
1:27:21	りんたぁん。	でた！前見てた
1:27:21	まふぃー	聞いたことある
1:27:21	mo's!	有名どこだからわかる
1:27:22	Kudrjavka	知らないね
1:27:22	桜田マッコイ	美容？しまむらーが?
1:27:22	しぐの	美容系は見ないなあ
1:27:22	Jジェイ	聞いたことあるね
1:27:22	Westeria	さっぱり分からん
1:27:22	ツナグ	あれ？
1:27:22	くろらび【おかもとぅーん】	あーずーかわいいよね
1:27:23	†すぱいらる†	ほ～
1:27:23	春季限定のりしお風味	わかんないなぁ
1:27:23	九十九屋/ツクモヤ	しまむら百均なのに美容系？？？？？？
1:27:24	くろしば	へぇー
1:27:24	天城久秀	聞いたことなかった
1:27:25	こうめ	そのへんはわからん
1:27:25	菊池タクオ	あーずーかわいい
1:27:25	さみゅ	名前は聞いたことあるな
1:27:25	ポンコツ星人	聞いたことあるな
1:27:25	kuromen	YouTuberはあんまり知らない
1:27:26	カンザキシン	うん
